headwater_id,downstream_id,drainage_ratio,dist,hw_order,ds_order,connection_id,start_hw,end_hw,n_hw,start_ds,end_ds,n_ds,n_rat,start_hw_hw,end_hw_hw,n_hw_hw,start_ds_ds,end_ds_ds,n_ds_ds
01452000,01453000,0.059258588,8.784,3,5,87,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01472198,01473000,0.136174924,26.462,3,4,89,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01472199,01473000,0.082479934,24.483,2,4,90,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01480300,01480617,0.33988764,19.995,3,3,92,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01480300,01481000,0.065115028,49.452,3,5,93,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01480300,01481500,0.059510636,66.19,3,5,94,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01480300,01480500,0.408094435,16.821,3,3,95,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01480500,01480617,0.832865169,3.174,3,3,96,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01480500,01481000,0.159558725,32.631,3,5,97,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01480500,01481500,0.145825649,49.369,3,5,98,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01480617,01481000,0.191578098,29.457,3,5,99,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01480617,01481500,0.175089143,46.195,3,5,100,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01480675,01480700,0.141401274,10.802,2,4,101,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01480675,01480870,0.095360825,18.699,2,4,102,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01521500,01524500,0.193792766,8.534,2,4,103,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01523500,01524500,0.366568915,2.668,3,4,104,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01534300,01534500,0.35931355,22.601,3,4,105,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01534300,01536000,0.116874055,53.72,3,4,106,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01557500,01558000,0.2004212,15.526,3,4,107,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01557500,01559000,0.05403615,38.799,3,6,108,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01567500,01568000,0.072374557,32.021,2,6,109,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01585500,01586000,0.0579809,16.585,1,3,110,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01591000,01592500,0.263527347,30.798,3,4,111,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01591000,01591610,0.442534381,9.183,3,4,112,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01591000,01594440,0.099966715,65.081,3,5,113,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01591400,01592500,0.173442527,33.177,3,4,114,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01591400,01591610,0.291257367,11.562,3,4,115,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01591400,01594440,0.065793853,67.46,3,5,116,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01591700,01592500,0.204445744,20.886,3,4,117,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01591700,01594440,0.077554643,55.169,3,5,118,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01593500,01594000,0.386033739,3.201,3,4,119,10/1/1981,9/30/2023,15340,5/16/1985,9/30/2023,14017,0.913754889,10/1/1981,9/30/2023,15340,5/16/1985,9/30/2023,14017
01593500,01594440,0.109175635,35.139,3,5,120,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01596500,01603000,0.056000704,72.839,3,5,123,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01596500,01597500,0.463387978,10.431,3,4,124,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01599000,01603000,0.082548208,53.675,3,5,125,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01615000,01616500,0.213910575,50.02,3,4,127,10/1/1981,9/30/2023,13533,10/1/1981,9/30/2023,15340,0.8822033898305085,10/1/1981,9/30/2023,13533,10/1/1981,9/30/2023,15340
01632900,01634000,0.121546407,103.398,3,4,128,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01632900,01633000,0.184236528,23.681,3,4,129,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01662800,01663500,0.090502642,20.749,2,4,131,10/1/1981,9/30/2023,14527,10/1/1981,9/30/2023,11791,0.8116610449507813,10/1/1981,9/30/2023,14527,10/1/1981,9/30/2023,11791
01665500,01667500,0.2456893,53.746,3,5,132,10/1/1981,9/30/2023,14152,10/1/1981,9/30/2023,15340,0.9225554106910039,10/1/1981,9/30/2023,14152,10/1/1981,9/30/2023,15340
01665500,01668000,0.072089083,117.744,3,6,133,10/1/1981,9/30/2023,14152,10/1/1981,9/30/2023,15340,0.9225554106910039,10/1/1981,9/30/2023,14152,10/1/1981,9/30/2023,15340
02011400,02016500,0.114506182,86.385,3,6,134,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
02011400,02019500,0.075731049,144.004,3,8,135,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
02011460,02011500,0.454335926,7.22,2,2,136,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
02011500,02016500,0.097749866,92.994,2,6,137,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
02011500,02019500,0.06464891,150.613,2,8,138,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
02015700,02016000,0.238609715,99.059,2,4,139,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
02015700,02016500,0.08023318,104.466,2,6,140,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
02015700,02019500,0.053063885,162.085,2,8,141,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
02020500,02021500,0.428588194,16.783,3,4,142,10/1/1981,9/30/2023,14610,10/1/1981,9/30/2023,15340,0.9524119947848761,10/1/1981,9/30/2023,14610,10/1/1981,9/30/2023,15340
02020500,02024000,0.217938772,52.923,3,5,143,10/1/1981,9/30/2023,14610,10/1/1981,9/30/2023,15340,0.9524119947848761,10/1/1981,9/30/2023,14610,10/1/1981,9/30/2023,15340
02032250,02034000,0.116119264,62.679,3,5,144,10/1/1981,9/30/2023,12504,10/1/1981,9/30/2023,15340,0.8151238591916558,10/1/1981,9/30/2023,12504,10/1/1981,9/30/2023,15340
02077200,02077303,0.227255352,29.341,3,4,145,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15276,0.9958279009126467,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15276
02093800,02094500,0.157382847,40.151,3,4,146,10/1/1981,9/30/2023,15256,10/1/1981,9/30/2023,15339,0.994588956,10/1/1981,9/30/2023,15256,10/1/1981,9/30/2023,15339
02095500,02096500,0.061229691,52.43,3,5,147,10/1/1981,9/30/2023,12509,10/1/1981,9/30/2023,15335,0.8157156830779263,10/1/1981,9/30/2023,12509,10/1/1981,9/30/2023,15335
02111000,02112000,0.057147235,54.638,3,5,148,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
02143500,02145000,0.110175223,31.487,2,5,149,10/1/1981,9/30/2023,15340,10/1/1983,9/30/2023,14610,0.9524119947848761,10/1/1981,9/30/2023,15340,10/1/1983,9/30/2023,14610
02143500,02145000,0.110175223,31.487,2,5,150,10/1/1981,9/30/2023,15340,10/1/1983,9/30/2023,14610,0.9524119947848761,10/1/1981,9/30/2023,15340,10/1/1983,9/30/2023,14610
02144000,02145000,0.050660928,24.5,2,5,151,10/1/1981,9/30/2023,15340,10/1/1983,9/30/2023,14610,0.9524119947848761,10/1/1981,9/30/2023,15340,10/1/1983,9/30/2023,14610
02144000,02145000,0.050660928,24.5,2,5,152,10/1/1981,9/30/2023,15340,10/1/1983,9/30/2023,14610,0.9524119947848761,10/1/1981,9/30/2023,15340,10/1/1983,9/30/2023,14610
02146211,02146300,0.194968553,11.285,1,3,153,10/1/1981,9/30/2023,13429,10/1/1981,9/30/2023,15002,0.8951473136915078,10/1/1981,9/30/2023,13429,10/1/1981,9/30/2023,15002
02146600,02146750,0.417885499,19.05,3,3,154,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
02146700,02146750,0.07521939,12.597,2,3,155,10/1/1981,9/30/2023,15339,10/1/1981,9/30/2023,15340,0.9999348109517601,10/1/1981,9/30/2023,15339,10/1/1981,9/30/2023,15340
02162350,02162500,0.070484581,50.315,3,5,156,10/1/1981,9/30/2023,12124,2/26/1990,9/30/2023,12270,0.9881010594947025,10/1/1981,9/30/2023,12124,2/26/1990,9/30/2023,12270
02234990,02235000,0.224310521,8.689,2,3,157,10/1/1982,9/30/2023,14975,10/1/1981,9/30/2023,15340,0.9762059973924381,10/1/1982,9/30/2023,14975,10/1/1981,9/30/2023,15340
02235000,02236000,0.061642887,31.789,3,6,158,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
02237293,02240000,0.184788223,79.498,1,4,159,10/1/1981,9/30/2023,15282,10/1/1981,9/30/2023,15340,0.9962190352020861,10/1/1981,9/30/2023,15282,10/1/1981,9/30/2023,15340
02237293,02238000,0.341059405,25.002,1,4,160,10/1/1981,9/30/2023,15282,10/1/1985,9/30/2023,13879,0.9081926449417616,10/1/1981,9/30/2023,15282,10/1/1985,9/30/2023,13879
02266200,02266300,0.146508444,9.432,1,3,161,10/1/1981,9/30/2023,15106,10/1/1981,9/30/2023,15340,0.9847457627118644,10/1/1981,9/30/2023,15106,10/1/1981,9/30/2023,15340
02266200,02266500,0.070026178,25.014,1,3,162,10/1/1981,9/30/2023,15106,10/1/1981,9/30/2023,14067,0.9312193830266119,10/1/1981,9/30/2023,15106,10/1/1981,9/30/2023,14067
02266300,02266500,0.477966841,15.582,3,3,163,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,14067,0.9170143415906128,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,14067
02266480,02266500,0.130017452,12.881,1,3,164,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,14067,0.9170143415906128,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,14067
02270000,02270500,0.102383863,18.519,2,4,165,3/1/1991,9/30/2023,11902,10/1/1981,9/30/2023,15193,0.7833870861580992,3/1/1991,9/30/2023,11902,10/1/1981,9/30/2023,15193
02303400,02303800,0.349903475,30.514,3,3,166,10/1/1981,9/30/2023,15076,10/1/1981,9/30/2023,15340,0.9827900912646675,10/1/1981,9/30/2023,15076,10/1/1981,9/30/2023,15340
02303400,02304500,0.089716619,53.08,3,5,167,10/1/1981,9/30/2023,15076,10/1/1981,9/30/2023,15273,0.9871014208079618,10/1/1981,9/30/2023,15076,10/1/1981,9/30/2023,15273
02303400,02303420,0.478547855,11.279,3,3,168,10/1/1981,9/30/2023,15076,10/1/1981,9/30/2023,15339,0.9828541625920856,10/1/1981,9/30/2023,15076,10/1/1981,9/30/2023,15339
02303420,02303800,0.731177606,19.235,3,3,169,10/1/1981,9/30/2023,15339,10/1/1981,9/30/2023,15340,0.9999348109517601,10/1/1981,9/30/2023,15339,10/1/1981,9/30/2023,15340
02303420,02304500,0.187476797,41.801,3,5,170,10/1/1981,9/30/2023,15339,10/1/1981,9/30/2023,15273,0.9956972423234891,10/1/1981,9/30/2023,15339,10/1/1981,9/30/2023,15273
